gene	pval	fstat	species_specific
POLR1C	4.86075401864337e-69	163.372217723707	TRUE
XPO5	1.12652671309141e-83	200.001209800766	TRUE
GTPBP2	3.21421798399551e-205	528.165794534531	FALSE
MAD2L1BP	9.04505350989707e-30	67.9575541870974	TRUE
RSPH9	7.32115369963422e-49	113.82963495997	TRUE
MRPS18A	1.28733262708095e-54	127.847405582115	TRUE
VEGFA	1.64371888952892e-71	169.51503501006	TRUE
MRPL14	6.90576088955383e-130	319.62089159966	TRUE
TMEM63B	2.82411139643245e-16	36.111815876163	TRUE
SLC29A1	6.0067743734965e-07	14.3744492146373	TRUE
HSP90AB1	0	1387.4345417323	FALSE
SLC35B2	9.47422437985392e-06	11.5990260086239	TRUE
NFKBIE	4.57422304654747e-62	146.125185270104	TRUE
TMEM151B	2.50420443288459e-10	22.2253056247426	TRUE
AARS2	0.163586653393815	1.811197342015	TRUE
SPATS1	9.39042486853097e-26	58.4299369432061	TRUE
CDC5L	0	1103.11840125615	FALSE
SUPT3H	2.36850342643271e-35	81.2695784230985	TRUE
RUNX2	1.31451251939136e-61	144.995998837652	TRUE
CLIC5	2.53278517958921e-12	26.8731234187518	TRUE
ENPP4	1.5133974602928e-91	219.948857549977	TRUE
ENPP5	3.06384449841605e-25	57.2146313848797	TRUE
RCAN2	1.20344341640184e-38	89.1638788107756	TRUE
CYP39A1	1.83474557225555e-17	38.8947808118743	TRUE
SLC25A27	6.09719092584688e-16	35.3290181366103	TRUE
PLA2G7	0.0687214739179137	2.67941084042316	TRUE
ADGRF5	3.21759336486948e-52	121.995930190157	TRUE
ADGRF1	8.3204474240036e-99	238.499788271609	TRUE
TNFRSF21	1.35747337507207e-91	220.069043641117	TRUE
CD2AP	4.01804407477672e-161	403.993816202661	FALSE
ADGRF2	1.3841280294284e-169	427.358450089091	FALSE
ADGRF4	0.201343868951972	1.60335618096655	TRUE
PTCHD4	6.50036427740602e-63	148.213840743586	TRUE
CENPQ	2.55848607855495e-08	17.5546308604274	TRUE
PKHD1	3.29624982387602e-05	10.345680145099	TRUE
MCM3	5.78559765883063e-41	94.7364429861533	TRUE
PAQR8	6.93648264510149e-25	56.3752860802382	TRUE
EFHC1	1.47994004663156e-47	110.661653628195	TRUE
TRAM2	2.53991863213539e-18	40.9099184429874	TRUE
FBXO9	1.85888386951842e-12	27.1864703243883	TRUE
ELOVL5	3.65015203641867e-75	178.62872162608	TRUE
GCLC	5.62691251813491e-55	128.725837436361	TRUE
LRRC1	1.18669734523367e-80	192.387621543933	TRUE
FAM83B	5.71688070186728e-33	75.5772339809157	TRUE
HMGCLL1	5.70795305670427e-18	40.0844889286828	TRUE
BMP5	7.34532829041143e-22	49.234167073051	TRUE
DST	3.77479956716751e-09	19.4852537168094	TRUE
TRIM34	2.08070918998318e-14	31.7422851212012	TRUE
TRIM68	0.187053751257016	1.67703221840286	TRUE
TRIM21	2.31178848315881e-29	66.9888491527772	TRUE
RRM1	1.95526853430819e-40	93.4638351193247	TRUE
STIM1	0.00162362013787169	6.43298409006468	TRUE
RHOG	1.1618988525203e-21	48.7648319578476	TRUE
PGAP2	4.9111876168194e-114	277.900023356136	TRUE
NUP98	3.25257144478071e-154	385.082221794026	TRUE
CHRNA10	5.43798894352926e-13	28.4319889664978	TRUE
ART1	0.0987302056554762	2.31664825473683	TRUE
ART5	1.28096484536932e-13	29.8979745415702	TRUE
RNF121	5.48213089617329e-90	215.984494689821	TRUE
IL18BP	2.06846222679007e-17	38.7726517633777	TRUE
NUMA1	5.40593277435712e-12	26.1053297253231	TRUE
LAMTOR1	1.47108533347637e-27	62.7067463586568	TRUE
ANAPC15	1.35361594219473e-73	174.709897428644	TRUE
FOLR1	1.19053831747867e-124	305.758116176983	TRUE
FOLR2	0.00923706599786186	4.68978863677761	TRUE
INPPL1	1.43629107743731e-10	22.7872031707699	TRUE
CLPB	3.51778245402322e-18	40.5778657280878	TRUE
PDE2A	2.20099828932227e-190	485.714975668499	FALSE
ARAP1	8.18151407019778e-18	39.7175940144374	TRUE
STARD10	7.39715143063081e-67	157.960574572815	TRUE
ATG16L2	0.107591146409437	2.23060726154147	TRUE
FCHSD2	2.19745255191245e-39	90.9376720654774	TRUE
P2RY2	5.80942390963251e-05	9.776254188399	TRUE
P2RY6	1.20214062643082e-49	115.735592037177	TRUE
ARHGEF17	5.42459558211438e-23	51.902964584886	TRUE
RELT	0.0122726074302989	4.40502451351367	TRUE
FAM168A	4.98550654581219e-16	35.5337262206998	TRUE
PLEKHB1	8.03107759443924e-05	9.45092622705194	TRUE
RAB6A	1.69407038701701e-185	471.884474918855	FALSE
DNAJB13	1.21967083064276e-09	20.6258689451063	TRUE
UCP2	2.66576246489827e-283	763.401628270599	FALSE
C2CD3	2.43781072052813e-12	26.9118347140767	TRUE
PPME1	7.17328170844228e-13	28.1512833039871	TRUE
PGM2L1	6.5004824355615e-85	203.128935985194	TRUE
KCNE3	1.1310021730964e-96	233.033125692208	TRUE
LIPT2	2.45394931816464e-24	55.0780839401022	TRUE
POLD3	2.47968761312623e-20	45.6349997508094	TRUE
RNF169	0.000909166783036906	7.01473603902123	TRUE
XRRA1	6.59347015510312e-35	80.2061777378685	TRUE
SPCS2	9.40440420818652e-31	70.2961022283815	TRUE
NEU3	5.30720278744402e-07	14.4991281230092	TRUE
ARRB1	1.18893505725982e-162	408.198642986161	FALSE
RPS3	0	950.90338730546	FALSE
KLHL35	8.39830636783854e-46	106.413158376244	TRUE
GDPD5	7.15109067678104e-10	21.1651118531971	TRUE
SERPINH1	2.1330717358488e-05	10.783103991164	TRUE
MAP6	2.60432756959047e-09	19.8599227464052	TRUE
DGAT2	3.00618363477438e-15	33.7072211303804	TRUE
UVRAG	4.12765162872666e-12	26.3785079851821	TRUE
EMSY	7.8291384760682e-14	30.3974278016925	TRUE
TSKU	6.63051852385587e-37	84.9876484599004	TRUE
ACER3	0.000171962154116236	8.68624963695789	TRUE
CAPN5	1.46569617026368e-07	15.7951949021001	TRUE
OMP	0.00114487735224162	6.78345029459399	TRUE
MYO7A	0.00428304515503697	5.46021627079531	TRUE
PAK1	6.43582333087872e-05	9.67337901669669	TRUE
CLNS1A	0.000280249811761243	8.19586868017614	TRUE
AQP11	0.0214404424713845	3.84601321773647	TRUE
RSF1	1.65210280342267e-214	555.101352103236	FALSE
AAMDC	8.11657048294415e-60	140.591076490542	TRUE
INTS4	4.80107508708058e-06	12.2826473534725	TRUE
KCTD14	1.43837997893737e-44	103.429793089986	TRUE
THRSP	3.86041974360872e-15	33.4530952590127	TRUE
NDUFC2	6.33073873566482e-99	238.804317145843	TRUE
ALG8	2.49386249668089e-14	31.5584163437162	TRUE
KCTD21	3.04083516444804e-05	10.4267344396207	TRUE
USP35	3.27838195297871e-10	21.9530776158371	TRUE
GAB2	3.61914865513102e-14	31.1804166709034	TRUE
NARS2	1.78710863172008e-19	43.6177461298861	TRUE
TENM4	3.4124404634278e-141	349.826227893854	TRUE
PRCP	3.25754789405542e-99	239.544851122376	TRUE
DDIAS	0.0019802241553191	6.23383024019945	TRUE
RAB30	4.59816258430032e-42	97.3852161034438	TRUE
PCF11	9.86196069130853e-15	32.5003769130128	TRUE
ANKRD42	0.0118264039645306	4.44213804109632	TRUE
CCDC90B	7.34894514983852e-48	111.398898977491	TRUE
DLG2	2.08282247882727e-71	169.259069815337	TRUE
TMEM126B	2.67502999322855e-83	199.053766609746	TRUE
TMEM126A	8.65971036793743e-29	65.6262598992346	TRUE
CREBZF	4.48235757837123e-51	119.209720835742	TRUE
CCDC89	1.39381096180918e-09	20.4910945204082	TRUE
SYTL2	1.12673309488895e-21	48.7962830155554	TRUE
CCDC83	8.97689646461066e-07	13.9699565757719	TRUE
PICALM	2.61847861836938e-101	244.927863685346	TRUE
EED	6.65666812411091e-34	77.8065876763733	TRUE
ME3	1.07988086107871e-05	11.4674424347136	TRUE
PRSS23	4.13103834170651e-82	196.05770049682	TRUE
FZD4	0.0014376066875225	6.55504104004364	TRUE
TMEM135	2.23969022189533e-16	36.347694148704	TRUE
RAB38	3.651653437079e-06	12.557934613357	TRUE
CTSC	6.98385540677457e-09	18.8643511639313	TRUE
GRM5	2.49040917120851e-209	540.051934127749	FALSE
CHORDC1	7.78066375739086e-169	425.279439342662	FALSE
